Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,128329.195313,132259.828125,119238.312500,121593.773438,121593.773438,100135733760
2018-06-05,122063.289063,127240.140625,116916.898438,126679.554688,126679.554688,79929679639
2018-06-06,127167.414063,127109.546875,121948.101563,124564.445313,124564.445313,67008347717
2018-06-07,125002.718750,128380.796875,124633.398438,125480.812500,125480.812500,61626413543
2018-06-08,125655.250000,126190.554688,119804.515625,122475.343750,122475.343750,55187347680
2018-06-09,122383.343750,124570.656250,119621.000000,119621.000000,119621.000000,44581776840
2018-06-10,119109.492188,119109.492188,99629.257813,102814.523438,102814.523438,82867616629
2018-06-11,102605.070313,106814.679688,99597.562500,105815.882813,105815.882813,68348076241
2018-06-12,105658.687500,105875.296875,95171.468750,96572.492188,96572.492188,57775691156
2018-06-13,96843.843750,97329.726563,90392.023438,93060.796875,93060.796875,60369884560
2018-06-14,93073.804688,99485.132813,91833.023438,99292.734375,99292.734375,57832801490
2018-06-15,99163.085938,99173.515625,93295.562500,93985.195313,93985.195313,41121475549
2018-06-16,93747.273438,95328.945313,92880.812500,94303.453125,94303.453125,34431637680
2018-06-17,94399.507813,95729.968750,93966.187500,94268.046875,94268.046875,32144762545
2018-06-18,94014.148438,98636.578125,91706.078125,97526.562500,97526.562500,42000208480
2018-06-19,97565.664063,100891.703125,96325.773438,99584.085938,99584.085938,43727080161
2018-06-20,99700.007813,99767.078125,95267.039063,98279.296875,98279.296875,47473559353
2018-06-21,98300.046875,99583.601563,95492.523438,96115.375000,96115.375000,39730085681
2018-06-22,96211.156250,96349.218750,80866.125000,83127.007813,83127.007813,64787108961
2018-06-23,83046.304688,85426.828125,81626.820313,83872.976563,83872.976563,43676773519
2018-06-24,84077.945313,84256.929688,74436.648438,82377.695313,82377.695313,70590671819
2018-06-25,82296.343750,84878.289063,80946.945313,82957.890625,82957.890625,49003344454
2018-06-26,83002.171875,82968.375000,77105.515625,77105.515625,77105.515625,39355294218
